loc,latitude,longitude,temp,temp_unit,humidity,humidity_unit,dewpoint,dewpoint_unit,precipitation,precipitation_unit,visibility,visibility_unit,windspeed,windspeed_unit,fireindex,observationtime
MT Lukens,34.25961,-118.30172,76.55,F,42.94,%,52.36,F,0,in/hr,9.94,mi,10.49,mph,20.125,2019-05-31T00:00:02.882Z
MT Lukens,34.25961,-118.30172,76.44,F,41.69,%,51.46,F,0,in/hr,9.94,mi,9.93,mph,19.1875,2019-05-31T00:15:02.242Z
MT Lukens,34.25961,-118.30172,76.44,F,41.69,%,51.46,F,0,in/hr,9.94,mi,9.93,mph,19.1875,2019-05-31T00:30:02.741Z
MT Lukens,34.25961,-118.30172,75.99,F,41.81,%,51.13,F,0,in/hr,9.94,mi,9.93,mph,19.0625,2019-05-31T00:45:03.209Z
MT Lukens,34.25961,-118.30172,75.43,F,42.31,%,51.01,F,0,in/hr,9.94,mi,10.91,mph,20.6875,2019-05-31T01:00:03.130Z
MT Lukens,34.25961,-118.30172,74.64,F,43.38,%,50.9,F,0,in/hr,9.94,mi,10.35,mph,19.3125,2019-05-31T01:15:02.714Z
MT Lukens,34.25961,-118.30172,74.53,F,43.06,%,50.56,F,0,in/hr,9.94,mi,8.81,mph,16.625,2019-05-31T01:30:02.650Z
MT Lukens,34.25961,-118.30172,73.63,F,45.31,%,51.24,F,0,in/hr,9.94,mi,9.37,mph,17.1875,2019-05-31T01:45:03.281Z
MT Lukens,34.25961,-118.30172,72.28,F,49.38,%,52.25,F,0,in/hr,9.94,mi,10.21,mph,17.75,2019-05-31T02:00:02.583Z
MT Lukens,34.25961,-118.30172,71.26,F,48.31,%,50.68,F,0,in/hr,9.94,mi,8.25,mph,14.3125,2019-05-31T02:15:03.008Z
MT Lukens,34.25961,-118.30172,70.59,F,48.81,%,50.45,F,0,in/hr,9.94,mi,7.27,mph,12.5625,2019-05-31T02:30:03.006Z
MT Lukens,34.25961,-118.30172,69.01,F,52.5,%,50.9,F,0,in/hr,9.94,mi,7.13,mph,11.8125,2019-05-31T02:45:02.326Z
MT Lukens,34.25961,-118.30172,67.21,F,66.31,%,55.63,F,0,in/hr,9.67,mi,5.45,mph,7.9375,2019-05-31T03:00:02.286Z
MT Lukens,34.25961,-118.30172,66.43,F,62.81,%,53.38,F,0,in/hr,9.94,mi,6.43,mph,9.25,2019-05-31T03:15:02.710Z
MT Lukens,34.25961,-118.30172,65.86,F,64.69,%,53.71,F,0,in/hr,9.9,mi,6.99,mph,9.75,2019-05-31T03:30:02.422Z
MT Lukens,34.25961,-118.30172,64.96,F,68.56,%,54.39,F,0,in/hr,9.9,mi,6.71,mph,8.375,2019-05-31T03:45:02.759Z
MT Lukens,34.25961,-118.30172,64.51,F,71.13,%,54.95,F,0,in/hr,9.79,mi,4.47,mph,6.4375,2019-05-31T04:00:03.163Z
MT Lukens,34.25961,-118.30172,62.71,F,75.5,%,54.84,F,0,in/hr,9.94,mi,3.08,mph,4.1875,2019-05-31T04:15:02.630Z
MT Lukens,34.25961,-118.30172,62.83,F,75.69,%,55.06,F,0,in/hr,9.86,mi,2.94,mph,4.1875,2019-05-31T04:30:02.626Z
MT Lukens,34.25961,-118.30172,62.38,F,75.5,%,54.5,F,0,in/hr,9.94,mi,3.08,mph,4.3125,2019-05-31T04:45:03.107Z
MT Lukens,34.25961,-118.30172,61.7,F,77.31,%,54.61,F,0,in/hr,9.94,mi,3.22,mph,4.125,2019-05-31T05:00:03.229Z
